지역,시군구,읍면동,상세주소,구분,장소유형,위도,경도
충청남도,당진시,석문면,당진시 석문면 마섬포구 어부마을 앞 갯벌,고립,,37.02136333,126.5703817
충청남도,당진시,석문면,당진시 석문면 장고항 1리 석문방조제 물양장,고립,,37.02208,126.5743517
충청남도,당진시,석문면,당진시 석문면 난지도리 도비도선착장,추락,,37.017595,126.4569683
충청남도,당진시,석문면,교로리 당진화력 회처리장 내,고립,,37.02516667,126.4715
충청남도,당진시,석문면,당진시 석문면 장고항 동측 선착장 끝단,추락,,37.02555833,126.5557017
경기도,화성시,서신면,경기도 화성시 서신면 제부리(바닷길 진입로 500m),고립,,37.17223333,126.6416767
경기도,화성시,서신면,경기 화성시 서신면 제부도 물길 중간부 출도 방향(바닷길 가로등 27~28번),추락,,37.17260333,126.6398117
경기도,화성시,서신면,제부도 입도도로,추락,,37.17261333,126.6398067
경기도,화성시,서신면,제부리 제부도 선착장 앞,고립,,37.17391,126.61974
경기도,화성시,서신면,경기도 화성시 서신면 전곡리 전곡항 슬립웨이,고립,,37.18558833,126.6508117
경기도,안산시,단원구,경기도 안산시 탄도항 부잔교,고립,,37.18742167,126.6408333
경기도,안산시,단원구,경기도 안산시 단원구 탄도항 슬립웨이,고립,,37.188215,126.6411783
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 1851-7 명동횟집 앞 ,고립,,37.27456,126.5425767
경기도,안산시,대부북동,안산시 대부북동 소재 구봉도 주차장 옆 해안가 진입 도로상 ,고립,,37.27552833,126.5508167
경시도,안산시,단원구,경기도 안산시 단원구 대부북동 구봉도 주차장,고립,,37.27566667,126.5506667
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 산33번지 구봉타운길 39-15 인근 해안가(구봉도 천연약수횟집 앞),고립,,37.27588167,126.5504733
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 구봉도 낙조전망대 인근,고립,,37.28516667,126.5361667
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 1843-3번지 바지락칼국수집 앞 ,고립,,37.28581333,126.571335
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 방아머리해수욕장 해변,고립,,37.286,126.5716667
경기도,안산시,대부북동,안산시 대부북동 구봉도 선돌바위 인근 해안도로,고립,,37.284,126.537
경기도,안산시,대부북동,안산시 방아머리 선착장 끝단,추락,,37.29132333,126.5710883
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 구봉도,고립,,37.28466667,126.537
경기도,안산시,구봉도,경기도 안산시 소재 구봉도 낙조전망대 인근 해안가,고립,,37.28483333,126.5368333
충청남도,당진시,석문면,당진시 석문면 장고항리 장고항 선착장,고립,,37.03536,126.5569483
충청남도,당진시,석문면,당진시 석문면 교로2리 왜목 캠프 앞 해변,고립,,37.04036,126.5228067
충청남도,당진시,석문면,당진시 석문면 교로리 왜목 선착장,고립,,37.04231,126.5232283
충청남도,당진시,석문면,당진시 석문면 장고항리,추락,,37.03453167,126.5507033
충청남도,당진시,석문면,대난지도 마을선착장 인근 갯벌,고립,,37.05203,126.4427167
경기도,화성시,서신면,경기도 화성시 궁평항 중간선착장,고립,,37.07,126.7253333
경기도,화성시,우정읍,매향2리 중간선착장,고립,,37.07010667,126.7253633
경기도,화성시,서신면,경기도 화성시 서신면 궁평리 궁평항 선착장,고립,,37.10918333,126.67515
경기도,화성시,서신면,궁평항 선착장,추락,,37.10933333,126.6730467
경기도,화성시,서신면,궁평항 긴선착장,고립,,37.1095,126.672
경기도,화성시,서신면,경기도 화성시 서신면 궁평리 1049-24(궁평유원지 진입로),고립,,37.117,126.6833333
경기도,화성시,서신면,경기도 화성시 궁평항 갯벌체험장 인근 슬립웨이,고립,,37.11716667,126.6765
경기도,화성시,서신면,궁평항,추락,,37.11721,126.67504
경기도,화성시 ,서신면,궁평유원지,고립,,37.12422333,126.6759267
경기도,화성시,서신면,경기도 화성시 궁평항 해안가 도로,고립,,37.11783333,126.6841667
충청남도,보령시,웅천읍,독산해수욕장 주변 ,고립,,36.22016667,126.5251667
충청남도,보령시,남포면,죽도 선착장,추락,,36.27188833,126.5366533
충청남도,보령시,신흑동,대천해수욕장 지구대 앞 백사장,고립,,36.30666667,126.5078333
충청남도,보령시,신흑동,대천항 유람선부두 ,추락,,36.32321167,126.50673
충청남도,보령시,신흑동,대천서부수협 앞 ,추락,,36.323215,126.508285
충청남도,보령시,신흑동,대천항 대천파출소 앞 ,추락,,36.32323167,126.5053433
충청남도,보령시,신흑동,대천항 여객선 터미널 물량장 앞 ,추락,,36.32325,126.50745
충청남도,보령시,신흑동,신협수협 인근 선착장,추락,,36.32343333,126.5042017
충청남도,태안군,고남면,충남 태안군 영목항 앞 선착장,고립,,36.39295833,126.4227383
충청남도,태안군,고남면,영목항 선착장(출장소 앞 슬립웨이),고립,,36.39297167,126.4227467
충청남도,태안군,고남면,충남 태안군 고남면 가경주항 방파제 인근,추락,,36.404315,126.4066783
충청남도,태안군,고남면,충남 태안군 고남면 바람아래 해변,고립,,36.407515,126.37286
